module	gene_name
activation	CD3E
activation	ZAP70
activation	LCK
activation	CD28
activation	IL2RA
activation	AKT1
activation	MTOR
activation	CD69
differentiation	TBX21
differentiation	EOMES
differentiation	PRDM1
differentiation	TCF7
differentiation	IL7R
differentiation	BCL2
differentiation	GZMB
differentiation	IFNG
differentiation KLRG1
differentiation CD27
polarization_tc1	TBX21
polarization_tc1	IFNG
polarization_tc1	STAT4
polarization_tc1	IL12RB2
polarization_tc1	CXCR3
polarization_tc2	GATA3
polarization_tc2	IL4
polarization_tc2	STAT6
polarization_tc2	IL5
polarization_tc2	IL13
polarization_tc9	SPI1
polarization_tc9	IRF4
polarization_tc9	IL9
polarization_tc17	RORC
polarization_tc17	IL17A
polarization_tc17	STAT3
polarization_tc17	IL23R
exhaustion	PDCD1
exhaustion	CTLA4
exhaustion	LAG3
exhaustion	HAVCR2
exhaustion	TIGIT
exhaustion	TOX
exhaustion	BATF
exhaustion	NR4A
exhaustion  PRDM1
exhaustion  ENTPD1
maturation	TCF7
maturation	LEF1
maturation	FOXO1
maturation	CD62L
maturation	CCR7
maturation	PRDM1
maturation	BCL6
maturation	ITGAE
