#chr	start	end	gene_id
chr1	11868	11869	DDX11L2
chr1	12009	12010	DDX11L1
chr1	17435	17436	MIR6859-1
chr1	29553	29554	MIR1302-2HG
chr1	29569	29570	WASH7P
chr1	30365	30366	MIR1302-2
chr1	36080	36081	FAM138A
chr1	52472	52473	OR4G4P
chr1	57597	57598	ENSG00000290826
chr1	62948	62949	OR4G11P
chr1	65418	65419	OR4F5
chr1	91104	91105	ENSG00000239945
chr1	131024	131025	CICP27
chr1	133722	133723	ENSG00000238009
chr1	135894	135895	ENSG00000268903
chr1	137964	137965	ENSG00000269981
chr1	140338	140339	ENSG00000239906
chr1	157886	157887	RNU6-1100P
chr1	160445	160446	ENSG00000241599
chr1	173861	173862	ENSG00000241860
chr1	182695	182696	DDX11L17
chr1	187957	187958	MIR6859-2
chr1	195410	195411	WASH9P
chr1	266854	266855	ENSG00000286448
chr1	348365	348366	RPL23AP24
chr1	358856	358857	ENSG00000236601
chr1	359680	359681	ENSG00000228463
chr1	439869	439870	WBP1LP7
chr1	451677	451678	OR4F29
chr1	485207	485208	ENSG00000237094
chr1	487100	487101	CICP7
chr1	493240	493241	ENSG00000250575
chr1	516478	516479	U6
chr1	522927	522928	ENSG00000290385
chr1	587628	587629	ENSG00000235146
chr1	629061	629062	MTND1P23
chr1	629639	629640	MTND2P28
chr1	631073	631074	MTCO1P12
chr1	632412	632413	ENSG00000278791
chr1	632756	632757	MTCO2P12
chr1	633534	633535	MTATP8P1
chr1	633695	633696	MTATP6P1
chr1	634375	634376	MTCO3P12
chr1	674841	674842	WBP1LP6
chr1	686653	686654	OR4F16
chr1	722091	722092	CICP3
chr1	758335	758336	RNU6-1199P
chr1	760910	760911	ENSG00000229905
chr1	774279	774280	ENSG00000228327
chr1	778687	778688	ENSG00000291215
chr1	778746	778747	LINC01409
chr1	781936	781937	ENSG00000285268
chr1	810160	810161	ENSG00000230092
chr1	817370	817371	FAM87B
chr1	817711	817712	ENSG00000290784
chr1	825137	825138	LINC01128
chr1	827538	827539	LINC00115
chr1	827795	827796	ENSG00000230021
chr1	860225	860226	ENSG00000288531
chr1	873291	873292	TUBB8P11
chr1	876902	876903	FAM41C
chr1	877233	877234	ENSG00000283040
chr1	904833	904834	ENSG00000272438
chr1	911434	911435	ENSG00000230699
chr1	914170	914171	ENSG00000241180
chr1	921015	921016	LINC02593
chr1	923922	923923	SAMD11
chr1	959308	959309	NOC2L
chr1	960583	960584	KLHL17
chr1	966481	966482	PLEKHN1
chr1	982116	982117	PERM1
chr1	998050	998051	ENSG00000272512
chr1	1000171	1000172	HES4
chr1	1001137	1001138	ISG15
chr1	1008228	1008229	ENSG00000231702
chr1	1013192	1013193	ENSG00000224969
chr1	1020119	1020120	AGRN
chr1	1055032	1055033	ENSG00000242590
chr1	1059686	1059687	ENSG00000291156
chr1	1063078	1063079	ENSG00000217801
chr1	1063287	1063288	ENSG00000273443
chr1	1074305	1074306	RNF223
chr1	1097584	1097585	ENSG00000285812
chr1	1116360	1116361	C1orf159
chr1	1137016	1137017	LINC01342
chr1	1167103	1167104	MIR200B
chr1	1167862	1167863	MIR200A
chr1	1169004	1169005	MIR429
chr1	1169356	1169357	ENSG00000272141
chr1	1173879	1173880	TTLL10
chr1	1179554	1179555	TTLL10-AS1
chr1	1206591	1206592	TNFRSF18
chr1	1214152	1214153	TNFRSF4
chr1	1232030	1232031	SDF4
chr1	1232236	1232237	B3GALT6
chr1	1246721	1246722	C1QTNF12
chr1	1251333	1251334	ENSG00000260179
chr1	1273863	1273864	UBE2J2
chr1	1275222	1275223	LINC01786
chr1	1280435	1280436	SCNN1D
chr1	1296169	1296170	MIR6726
chr1	1308596	1308597	PUSL1
chr1	1309608	1309609	ACAP3
chr1	1312565	1312566	MIR6727
chr1	1318688	1318689	ENSG00000240731
chr1	1324686	1324687	INTS11
chr1	1324755	1324756	CPTP
chr1	1331279	1331280	TAS1R3
chr1	1339707	1339708	MIR6808
chr1	1349417	1349418	DVL1
chr1	1361776	1361777	MXRA8
chr1	1375206	1375207	AURKAIP1
chr1	1378665	1378666	NDUFB4P8
chr1	1399334	1399335	CCNL2
chr1	1399514	1399515	MRPL20-AS1
chr1	1405751	1405752	RN7SL657P
chr1	1407292	1407293	MRPL20
chr1	1409095	1409096	MRPL20-DT
chr1	1420244	1420245	ANKRD65-AS1
chr1	1421768	1421769	ANKRD65
chr1	1425870	1425871	TMEM88B
chr1	1434572	1434573	LINC01770
chr1	1434860	1434861	VWA1
chr1	1449688	1449689	ATAD3C
chr1	1471764	1471765	ATAD3B
chr1	1503249	1503250	ENSG00000290916
chr1	1503581	1503582	ENSG00000284740
chr1	1512161	1512162	ATAD3A
chr1	1540623	1540624	TMEM240
chr1	1574101	1574102	ENSG00000215014
chr1	1574862	1574863	SSU72
chr1	1583908	1583909	ENSG00000274481
chr1	1600134	1600135	FNDC10
chr1	1600313	1600314	ENSG00000286989
chr1	1615453	1615454	MIB2
chr1	1615794	1615795	ENSG00000272106
chr1	1632162	1632163	MMP23B
chr1	1659011	1659012	CDK11B
chr1	1659324	1659325	ENSG00000272004
chr1	1671989	1671990	ENSG00000269737
chr1	1692794	1692795	SLC35E2B
chr1	1699941	1699942	MMP23A
chr1	1724356	1724357	CDK11A
chr1	1724511	1724512	ENSG00000227775
chr1	1737687	1737688	ENSG00000268575
chr1	1739556	1739557	SLC35E2A
chr1	1745991	1745992	ENSG00000290854
chr1	1780456	1780457	NADK
chr1	1891222	1891223	GNB1-DT
chr1	1892291	1892292	GNB1
chr1	1915107	1915108	CALML6
chr1	1919278	1919279	TMEM52
chr1	2003836	2003837	CFAP74
chr1	2015638	2015639	ENSG00000233542
chr1	2019328	2019329	GABRD
chr1	2050069	2050070	PRKCZ-DT
chr1	2050410	2050411	PRKCZ
chr1	2145278	2145279	ENSG00000271806
chr1	2184388	2184389	PRKCZ-AS1
chr1	2212522	2212523	ENSG00000234396
chr1	2212719	2212720	FAAP20
chr1	2227387	2227388	SKI
chr1	2315039	2315040	ENSG00000287356
chr1	2326692	2326693	ENSG00000272161
chr1	2352819	2352820	ENSG00000269896
chr1	2363627	2363628	ENSG00000272420
chr1	2391706	2391707	MORN1
chr1	2391774	2391775	RER1
chr1	2413796	2413797	PEX10
chr1	2425979	2425980	PLCH2
chr1	2493257	2493258	ENSG00000224387
chr1	2494478	2494479	ENSG00000229393
chr1	2526596	2526597	PANK4
chr1	2530063	2530064	ENSG00000272449
chr1	2530262	2530263	HES5
chr1	2555638	2555639	TNFRSF14
chr1	2557030	2557031	TNFRSF14-AS1
chr1	2566409	2566410	ENSG00000225931
chr1	2581559	2581560	ENSG00000228037
chr1	2585609	2585610	ENSG00000289610
chr1	2586490	2586491	PRXL2B
chr1	2632567	2632568	MMEL1-AS1
chr1	2633015	2633016	MMEL1
chr1	2768090	2768091	ENSG00000285945
chr1	2773602	2773603	ENSG00000283259
chr1	2801692	2801693	TTC34
chr1	2812691	2812692	ENSG00000233234
chr1	2814055	2814056	ENSG00000287396
chr1	2814997	2814998	ENSG00000231630
chr1	2968706	2968707	ENSG00000284745
chr1	3021466	3021467	ACTRT2
chr1	3069090	3069091	PRDM16-DT
chr1	3069167	3069168	PRDM16
chr1	3127974	3127975	MIR4251
chr1	3133708	3133709	ENSG00000226286
chr1	3205987	3205988	ENSG00000279839
chr1	3310095	3310096	ENSG00000272235
chr1	3323148	3323149	ENSG00000287828
chr1	3373927	3373928	ENSG00000286518
chr1	3454664	3454665	ARHGEF16
chr1	3487245	3487246	ENSG00000272088
chr1	3560789	3560790	MIR551A
chr1	3611507	3611508	MEGF6
chr1	3624785	3624786	ENSG00000238260
chr1	3625014	3625015	TPRG1L
chr1	3652515	3652516	TP73
chr1	3652760	3652761	WRAP73
chr1	3668771	3668772	TP73-AS3
chr1	3714297	3714298	TP73-AS2
chr1	3736942	3736943	ENSG00000276189
chr1	3746459	3746460	CCDC27
chr1	3747372	3747373	TP73-AS1
chr1	3772748	3772749	SMIM1
chr1	3782814	3782815	RN7SL574P
chr1	3785007	3785008	ENSG00000272153
chr1	3796497	3796498	LRRC47
chr1	3857266	3857267	DFFB
chr1	3857395	3857396	CEP104
chr1	3900292	3900293	C1orf174
chr1	3900346	3900347	LINC01134
chr1	3940485	3940486	LINC01346
chr1	3949023	3949024	LINC01345
chr1	3976132	3976133	LINC02780
chr1	4019507	4019508	ENSG00000284703
chr1	4175898	4175899	EEF1DP6
chr1	4412026	4412027	LINC01777
chr1	4484374	4484375	ENSG00000284694
chr1	4552144	4552145	ENSG00000227169
chr1	4571480	4571481	LINC01646
chr1	4654608	4654609	AJAP1
chr1	4734991	4734992	ENSG00000287586
chr1	4973297	4973298	ENSG00000284739
chr1	4973380	4973381	LINC02781
chr1	5090898	5090899	LINC02782
chr1	5307393	5307394	ENSG00000284616
chr1	5482027	5482028	ENSG00000284666
chr1	5492977	5492978	ENSG00000260972
chr1	5493056	5493057	ENSG00000284692
chr1	5554746	5554747	ENSG00000283356
chr1	5564070	5564071	ENSG00000264341
chr1	5668294	5668295	ENSG00000236948
chr1	5771452	5771453	ENSG00000289893
chr1	5862740	5862741	MIR4689
chr1	5990926	5990927	KCNAB2
chr1	5992472	5992473	NPHP4
chr1	6180320	6180321	CHD5
chr1	6197756	6197757	ENSG00000285629
chr1	6205474	6205475	RNF207
chr1	6205779	6205780	RNF207-AS1
chr1	6209388	6209389	RPL22
chr1	6234691	6234692	ICMT-DT
chr1	6235971	6235972	ICMT
chr1	6244178	6244179	HES3
chr1	6261097	6261098	GPR153
chr1	6393554	6393555	ENSG00000271746
